geo_tz,fips
072000_21,921072
072000_22,922072
072000_23,923072
072000_24,924072
073000_11,911073
073000_12,912073
074000_10,910074
074000_11,911074
075000_11,911075
076000_13,913076
077000_12,912077
077000_13,913077
078000_12,912078
079000_12,912079
080000_12,912080
081000_12,912081
082000_11,911082
082000_12,912082
083000_11,911083
084000_00,900084
084000_01,901084
084000_02,902084
084000_03,903084
084000_04,904084
084000_16,916084
084000_17,917084
084000_18,918084
084000_19,919084
084000_20,920084
084000_21,921084
084000_22,922084
084000_23,923084
084000_24,924084
084000_25,925084
085000_01,901085
085000_02,902085
085000_03,903085
085000_04,904085
085000_05,905085
085000_06,906085
085000_07,907085
085000_08,908085
085000_09,909085
085000_10,910085
085000_11,911085
085000_12,912085
085000_13,913085
085000_14,914085
085000_15,915085
085000_16,916085
085000_17,917085
085000_18,918085
085000_19,919085
085000_20,920085
085000_21,921085
085000_22,922085
085000_23,923085
085000_24,924085
085000_25,925085
086000_11,911086
086000_12,912086
087000_05,905087
088000_05,905088
089000_04,904089
089000_05,905089
090000_05,905090
091000_04,904091
092000_04,904092
093000_04,904093
093000_05,905093
094000_03,903094
094000_04,904094
095000_04,904095
095000_05,905095
096000_05,905096
097000_05,905097
098000_05,905098
098000_06,906098
099000_05,905099
100000_05,905100
100000_06,906100
101000_05,905101
102000_17,917102
103000_12,912103
103000_13,913103
104000_08,908104
104000_09,909104
104000_10,910104
104000_11,911104
105000_12,912105
106000_09,909106
106000_10,910106
106000_11,911106
107000_12,912107
108000_24,924108
109000_16,916109
109000_17,917109
110000_02,902110
110000_03,903110
110000_04,904110
110000_05,905110
111000_10,910111
112000_17,917112
114000_18,918114
115000_07,907115
115000_08,908115
116000_19,919116
117000_12,912117
118000_17,917118
118000_18,918118
119000_07,907119
119000_08,908119
120000_12,912120
120000_13,913120
121000_02,902121
122000_16,916122
122000_17,917122
122000_18,918122
123000_11,911123
123000_12,912123
124000_05,905124
125000_16,916125
125000_17,917125
125000_18,918125
125000_19,919125
125000_20,920125
125000_21,921125
125000_22,922125
126000_06,906126
127000_08,908127
128000_12,912128
129000_11,911129
129000_12,912129
130000_11,911130
131000_05,905131
131000_06,906131
131000_07,907131
131000_08,908131
131000_09,909131
132000_09,909132
132000_10,910132
133000_07,907133
133000_08,908133
134000_17,917134
134000_18,918134
134000_19,919134
136000_12,912136
137000_12,912137
138000_10,910138
139000_18,918139
140000_19,919140
141000_12,912141
142000_18,918142
143000_14,914143
145000_11,911145
146000_12,912146
147000_10,910147
148000_17,917148
149000_17,917149
149000_18,918149
150000_18,918150
150000_19,919150
151000_11,911151
151000_12,912151
152000_13,913152
152000_14,914152
153000_12,912153
154000_11,911154
155000_10,910155
155000_11,911155
156000_19,919156
157000_10,910157
157000_11,911157
158000_12,912158
159000_12,912159
160000_16,916160
160000_17,917160
161000_11,911161
161000_12,912161
162000_01,901162
163000_17,917163
164000_02,902164
165000_22,922165
165000_23,923165
166000_12,912166
166000_13,913166
167000_13,913167
168000_12,912168
169000_09,909169
169000_10,910169
169000_11,911169
170000_13,913170
171000_17,917171
172000_13,913172
172000_14,914172
172000_16,916172
172000_17,917172
172000_18,918172
173000_12,912173
174000_03,903174
175000_11,911175
175000_12,912175
176000_19,919176
177000_13,913177
177000_14,914177
178000_17,917178
179000_18,918179
180000_19,919180
181000_12,912181
182000_12,912182
183000_13,913183
184000_08,908184
185000_10,910185
